# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 30 Mar 2026 03:00:58 +0200
#
# IP	number of (black)lists
#
82.165.66.87	6
83.11.130.10	6
83.118.24.18	6
83.171.89.209	6
83.235.16.111	6
83.248.184.152	6
85.17.40.132	6
85.24.209.239	6
85.111.68.99	6
85.217.140.6	6
85.217.140.13	6
85.217.140.15	6
85.217.140.17	6
85.217.140.19	6
85.217.140.20	6
85.217.140.22	6
85.217.140.23	6
85.217.140.24	6
85.217.140.32	6
85.217.140.33	6
85.217.140.34	6
85.217.140.39	6
85.217.140.42	6
85.217.140.46	6
85.217.140.47	6
85.217.140.48	6
85.217.140.50	6
85.217.140.52	6
85.217.149.2	6
85.217.149.35	6
85.217.149.66	6
85.225.135.134	6
86.54.31.34	6
86.54.42.185	6
87.103.126.54	6
87.106.91.226	6
87.236.176.202	6
88.147.30.59	6
89.231.40.49	6
90.150.68.44	6
91.92.199.36	6
91.210.170.92	6
92.27.101.99	6
92.33.193.44	6
92.118.39.56	6
92.118.39.72	6
93.93.202.165	6
93.174.95.106	6
94.177.160.163	6
95.85.240.24	6
98.26.115.52	6
101.36.104.242	6
101.47.8.188	6
101.47.142.206	6
101.47.163.103	6
101.126.22.12	6
101.126.54.66	6
101.126.55.179	6
101.126.88.251	6
102.88.137.213	6
102.89.17.238	6
102.140.97.134	6
102.210.148.92	6
102.210.149.105	6
103.4.145.50	6
103.13.206.100	6
103.23.198.244	6
103.31.38.209	6
103.31.39.143	6
103.40.61.98	6
103.48.192.48	6
103.49.238.104	6
103.49.238.236	6
103.49.239.156	6
103.59.94.62	6
103.61.122.229	6
103.63.25.171	6
103.67.78.23	6
103.86.198.162	6
103.91.246.101	6
103.105.155.88	6
103.106.188.32	6
103.113.105.228	6
103.117.56.120	6
103.124.106.107	6
103.126.117.26	6
103.132.243.250	6
103.134.154.157	6
103.143.11.168	6
103.148.100.146	6
103.149.27.208	6
103.154.158.70	6
103.155.57.54	6
103.164.81.65	6
103.171.85.42	6
103.176.20.115	6
103.181.143.216	6
103.182.132.154	6
103.186.1.59	6
103.187.146.121	6
103.187.147.214	6
103.189.235.93	6
103.191.14.243	6
103.191.92.72	6
103.193.178.119	6
103.199.19.57	6
103.199.203.67	6
103.226.138.52	6
103.231.14.54	6
103.233.206.154	6
103.234.53.173	6
103.237.144.204	6
103.249.84.18	6
103.250.11.118	6
103.250.11.156	6
103.254.172.165	6
104.248.23.98	6
106.13.70.73	6
106.38.205.224	6
106.75.222.164	6
107.152.39.17	6
107.172.90.164	6
107.172.219.50	6
107.173.37.94	6
109.73.207.89	6
109.123.249.129	6
110.35.80.116	6
111.68.98.152	6
112.78.10.55	6
112.118.57.75	6
112.163.119.199	6
112.219.151.50	6
113.108.63.207	6
113.137.40.250	6
113.193.234.210	6
114.10.47.178	6
115.68.208.117	6
115.178.75.242	6
115.190.64.245	6
115.190.220.225	6
115.231.78.11	6
115.241.83.2	6
116.34.14.135	6
117.6.44.221	6
117.149.196.213	6
117.173.77.121	6
118.35.127.66	6
118.36.136.12	6
118.99.102.20	6
118.122.147.195	6
118.127.40.41	6
118.139.164.171	6
118.194.234.8	6
118.219.239.123	6
119.18.55.118	6
119.28.9.170	6
119.96.157.188	6
119.96.173.169	6
119.209.12.20	6
120.48.20.114	6
120.48.55.25	6
120.48.131.211	6
120.92.134.103	6
121.15.140.235	6
121.125.70.58	6
121.153.60.137	6
121.165.84.80	6
121.183.240.55	6
122.10.115.18	6
122.35.192.61	6
122.53.133.167	6
122.115.225.109	6
122.118.201.172	6
122.165.124.15	6
122.168.194.41	6
122.172.241.239	6
123.156.230.101	6
123.253.162.254	6
125.20.210.182	6
125.31.2.160	6
125.77.133.94	6
125.77.172.80	6
125.132.34.65	6
125.138.175.113	6
125.139.124.120	6
129.159.149.21	6
129.213.146.221	6
129.222.203.222	6
129.226.83.233	6
130.51.21.20	6
131.161.249.165	6
134.209.179.95	6
138.124.20.112	6
138.197.125.49	6
139.19.117.129	6
140.249.21.1	6
142.171.168.165	6
143.20.129.110	6
143.198.161.12	6
143.255.141.221	6
144.31.186.117	6
144.31.186.180	6
144.217.229.208	6
147.50.103.212	6
147.50.227.79	6
147.135.251.134	6
147.182.194.60	6
147.185.132.100	6
147.185.132.153	6
148.66.132.204	6
149.56.102.185	6
150.138.115.76	6
150.139.201.247	6
151.33.51.41	6
152.32.129.17	6
152.32.129.236	6
152.32.131.112	6
152.32.135.217	6
152.32.141.86	6
152.32.142.138	6
152.32.151.235	6
152.32.162.42	6
152.32.163.183	6
152.32.191.75	6
152.32.215.134	6
152.32.218.244	6
152.32.238.146	6
152.67.46.203	6
152.250.243.47	6
154.12.82.78	6
154.12.90.12	6
154.40.46.236	6
154.90.54.142	6
154.116.240.3	6
154.125.137.154	6
154.198.215.50	6
154.221.17.42	6
154.221.27.234	6
154.222.27.97	6
155.212.161.234	6
157.7.113.83	6
157.20.172.86	6
157.20.254.47	6
157.66.34.121	6
157.230.142.81	6
158.178.141.16	6
158.220.125.34	6
159.65.140.241	6
159.65.149.231	6
159.65.153.141	6
159.89.198.208	6
159.146.11.164	6
159.195.28.118	6
159.223.94.24	6
160.16.101.165	6
160.174.129.232	6
161.35.173.173	6
161.35.195.227	6
161.49.89.39	6
161.129.67.166	6
162.216.150.142	6
163.7.4.38	6
163.7.8.79	6
163.7.8.90	6
163.43.142.110	6
164.92.175.202	6
164.152.250.192	6
165.22.84.8	6
165.99.42.47	6
165.101.23.37	6
165.154.1.18	6
165.154.5.249	6
165.154.6.34	6
165.154.6.49	6
165.154.6.150	6
165.154.20.214	6
165.154.22.250	6
165.154.23.29	6
165.154.41.97	6
165.154.105.128	6
165.154.227.162	6
165.154.229.58	6
165.227.119.154	6
167.94.146.49	6
167.94.146.50	6
167.94.146.51	6
167.94.146.53	6
167.94.146.56	6
167.94.146.61	6
167.99.142.36	6
167.99.148.96	6
167.172.120.246	6
168.167.228.123	6
171.15.53.90	6
